question,predicted_disease
Can body aches be a sign of something serious?,Influenza
Can wheezing be a sign of something serious?,Bronchitis
I've had weakness since last night. Could it be due to poor diet?,Myasthenia gravis
"Recently, I noticed dizziness, and it's getting worse. Should I be concerned?",Anemia
Experiencing dizziness along with mild discomfort. Do I need to see a doctor?,Low blood pressure
"Whenever I walking, I experience loss of appetite. Is this a medical condition?",Cancer
Could diarrhea be related to alcohol consumption?,Irritable Bowel Syndrome IBS
"Recently, I noticed diarrhea, and it's getting worse. Should I be concerned?",Food poisoning
My stomach has been sweating. What could be causing this?,Tuberculosis
Is it normal to have difficulty breathing along with dizziness?,Heart failure
Could weakness be related to alcohol consumption?,Stroke
Can high fever be a sign of something serious?,Typhoid fever
Experiencing chest pain along with mild discomfort. Do I need to see a doctor?,GERD
"Whenever I walking, I experience wheezing. Is this a medical condition?",Bronchitis
"Recently, I noticed swelling, and it's getting worse. Should I be concerned?",Angioedema
"Recently, I noticed vomiting, and it's getting worse. Should I be concerned?",Motion sickness
"Whenever I sitting for long hours, I experience excessive thirst. Is this a medical condition?",Hypercalcemia
Could numbness be related to lack of exercise?,Diabetes
"Whenever I climbing stairs, I experience fatigue. Is this a medical condition?",Depression
I've been feeling excessive thirst for the past few days. What could be the reason?,Hypercalcemia
I've been feeling weight loss for the past few days. What could be the reason?,Hyperthyroidism
Is it normal to have numbness along with weakness?,Diabetes
I've been feeling seizures for the past few days. What could be the reason?,Meningitis
Can weakness be a sign of something serious?,Myasthenia gravis
Experiencing vomiting along with mild discomfort. Do I need to see a doctor?,Gastroenteritis
Can diarrhea be a sign of something serious?,Food poisoning
Experiencing headache along with mild discomfort. Do I need to see a doctor?,Migraine
I've been dealing with wheezing for a week now. What should I do?,COPD
"Whenever I exercising, I experience swelling. Is this a medical condition?",Arthritis
Experiencing loss of appetite along with mild discomfort. Do I need to see a doctor?,Depression
I've been dealing with numbness for a week now. What should I do?,Pinched nerve
I've been feeling seizures for the past few days. What could be the reason?,Meningitis
Is it normal to have high fever along with nausea?,Typhoid fever
"Whenever I climbing stairs, I experience itching. Is this a medical condition?",Kidney disease
Is it normal to have constipation along with nausea?,Colon obstruction
I've had fatigue since last night. Could it be due to infection?,Hypothyroidism
I've had seizures since last night. Could it be due to dehydration?,Epilepsy
"Recently, I noticed wheezing, and it's getting worse. Should I be concerned?",Anaphylaxis
"Recently, I noticed blisters, and it's getting worse. Should I be concerned?",Herpes
Could body aches be related to alcohol consumption?,Lyme disease
I've been feeling blisters for the past few days. What could be the reason?,Burns
My chest has been stomach cramps. What could be causing this?,Menstrual cramps
My head has been body aches. What could be causing this?,Lyme disease
"Recently, I noticed stomach cramps, and it's getting worse. Should I be concerned?",Food poisoning
I've been feeling rash for the past few days. What could be the reason?,Allergic reaction
Could diarrhea be related to lack of exercise?,Crohns disease
My arms has been vomiting. What could be causing this?,Food poisoning
I've been feeling stomach cramps for the past few days. What could be the reason?,Menstrual cramps
Experiencing headache along with mild discomfort. Do I need to see a doctor?,Tension headache
Can redness be a sign of something serious?,Rosacea
I've been dealing with vomiting for a week now. What should I do?,Motion sickness
Could wheezing be related to high sugar intake?,Anaphylaxis
Experiencing insomnia along with mild discomfort. Do I need to see a doctor?,Restless leg syndrome
I've been feeling rash for the past few days. What could be the reason?,Eczema
My back has been memory loss. What could be causing this?,Brain tumor
I've been feeling chest pain for the past few days. What could be the reason?,GERD
Can insomnia be a sign of something serious?,Restless leg syndrome
Experiencing weakness along with mild discomfort. Do I need to see a doctor?,Stroke
Can vomiting be a sign of something serious?,Gastroenteritis
Experiencing chills along with mild discomfort. Do I need to see a doctor?,COVID-19
Is it normal to have rash along with nausea?,Psoriasis
I've been feeling numbness for the past few days. What could be the reason?,Pinched nerve
Could dizziness be related to high sugar intake?,Anemia
My legs has been rash. What could be causing this?,Psoriasis
I've had dizziness since last night. Could it be due to dehydration?,Low blood pressure
I've been feeling loss of appetite for the past few days. What could be the reason?,Depression
"Whenever I sitting for long hours, I experience itching. Is this a medical condition?",Kidney disease
I've been dealing with rash for a week now. What should I do?,Psoriasis
My arms has been confusion. What could be causing this?,Brain infection encephalitis
Experiencing chest pain along with mild discomfort. Do I need to see a doctor?,GERD
Can blurred vision be a sign of something serious?,Diabetes
"Recently, I noticed diarrhea, and it's getting worse. Should I be concerned?",Irritable Bowel Syndrome IBS
Is it normal to have difficulty breathing along with headache?,Heart failure
"Whenever I exercising, I experience stomach cramps. Is this a medical condition?",Gastritis
I've had joint pain since last night. Could it be due to dehydration?,Gout
Experiencing blurred vision along with mild discomfort. Do I need to see a doctor?,Stroke
Can stomach cramps be a sign of something serious?,Menstrual cramps
I've had shortness of breath since last night. Could it be due to poor diet?,Pulmonary embolism
"Recently, I noticed constipation, and it's getting worse. Should I be concerned?",Colon obstruction
I've been feeling chest pain for the past few days. What could be the reason?,Heart attack
Could itching be related to alcohol consumption?,Fungal infections
I've had dizziness since last night. Could it be due to stress?,Anemia
I've been feeling blurred vision for the past few days. What could be the reason?,Stroke
Could muscle pain be related to alcohol consumption?,Viral infection flu
I've been feeling memory loss for the past few days. What could be the reason?,Brain tumor
"Recently, I noticed memory loss, and it's getting worse. Should I be concerned?",Vitamin B12 deficiency
"Whenever I exercising, I experience confusion. Is this a medical condition?",Hypoglycemia
I've been feeling loss of appetite for the past few days. What could be the reason?,Cancer
"Whenever I climbing stairs, I experience dizziness. Is this a medical condition?",Anemia
I've had excessive thirst since last night. Could it be due to dehydration?,Diabetes
"Recently, I noticed blurred vision, and it's getting worse. Should I be concerned?",Retinal detachment
My legs has been swelling. What could be causing this?,Arthritis
My back has been redness. What could be causing this?,Contact dermatitis
"Recently, I noticed seizures, and it's getting worse. Should I be concerned?",Meningitis
Could diarrhea be related to high sugar intake?,Irritable Bowel Syndrome IBS
My chest has been dizziness. What could be causing this?,Anemia
Can dizziness be a sign of something serious?,Anemia
Is it normal to have body aches along with dizziness?,Lyme disease
"Recently, I noticed congestion, and it's getting worse. Should I be concerned?",Sinusitis
"Recently, I noticed excessive thirst, and it's getting worse. Should I be concerned?",Dehydration
Experiencing weight loss along with mild discomfort. Do I need to see a doctor?,Cancer
I've been dealing with stomach cramps for a week now. What should I do?,IBS
I've been feeling stomach cramps for the past few days. What could be the reason?,Food poisoning
"Recently, I noticed difficulty breathing, and it's getting worse. Should I be concerned?",Heart failure
I've been feeling numbness for the past few days. What could be the reason?,Diabetes
My chest has been body aches. What could be causing this?,Fibromyalgia
I've been feeling memory loss for the past few days. What could be the reason?,Dementia
I've been feeling memory loss for the past few days. What could be the reason?,Brain tumor
"Recently, I noticed insomnia, and it's getting worse. Should I be concerned?",Restless leg syndrome
I've been dealing with sweating for a week now. What should I do?,Tuberculosis
Experiencing constipation along with mild discomfort. Do I need to see a doctor?,Colon obstruction
I've had cough since last night. Could it be due to stress?,Asthma
My arms has been chills. What could be causing this?,COVID-19
"Whenever I walking, I experience memory loss. Is this a medical condition?",Vitamin B12 deficiency
I've been dealing with memory loss for a week now. What should I do?,Alzheimers
I've been feeling chills for the past few days. What could be the reason?,Pneumonia
I've had diarrhea since last night. Could it be due to seasonal changes?,Cholera
"Recently, I noticed high fever, and it's getting worse. Should I be concerned?",Dengue
My back has been fatigue. What could be causing this?,Hypothyroidism
Experiencing weight loss along with mild discomfort. Do I need to see a doctor?,Hyperthyroidism
My back has been chills. What could be causing this?,COVID-19
I've been dealing with bloating for a week now. What should I do?,Celiac disease
I've been feeling cough for the past few days. What could be the reason?,COVID-19
Could chest pain be related to smoking?,GERD
"Whenever I exercising, I experience fatigue. Is this a medical condition?",Depression
Could fatigue be related to lack of exercise?,Hypothyroidism
Can confusion be a sign of something serious?,Brain infection encephalitis
Can dizziness be a sign of something serious?,Dehydration
I've been feeling weight loss for the past few days. What could be the reason?,Tuberculosis
I've been feeling abdominal pain for the past few days. What could be the reason?,Appendicitis
"Recently, I noticed constipation, and it's getting worse. Should I be concerned?",IBS
Could rash be related to alcohol consumption?,Allergic reaction
"Recently, I noticed memory loss, and it's getting worse. Should I be concerned?",Alzheimers
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Lyme disease
My stomach has been weight loss. What could be causing this?,Hyperthyroidism
My back has been cough. What could be causing this?,Asthma
Can confusion be a sign of something serious?,Alzheimers
I've had swelling since last night. Could it be due to lack of sleep?,Angioedema
I've been dealing with fatigue for a week now. What should I do?,Hypothyroidism
Can redness be a sign of something serious?,Rosacea
My back has been dizziness. What could be causing this?,Anemia
Could redness be related to alcohol consumption?,Sunburn
Experiencing swelling along with mild discomfort. Do I need to see a doctor?,Cellulitis
Could memory loss be related to smoking?,Alzheimers
My arms has been muscle pain. What could be causing this?,Polymyositis
I've been feeling headache for the past few days. What could be the reason?,Tension headache
I've been dealing with cough for a week now. What should I do?,COVID-19
Can blurred vision be a sign of something serious?,Glaucoma
"Recently, I noticed headache, and it's getting worse. Should I be concerned?",Meningitis
Experiencing cough along with mild discomfort. Do I need to see a doctor?,Tuberculosis
Is it normal to have headache along with headache?,Meningitis
"Whenever I sitting for long hours, I experience numbness. Is this a medical condition?",Diabetes
Experiencing seizures along with mild discomfort. Do I need to see a doctor?,Brain injury
Experiencing rash along with mild discomfort. Do I need to see a doctor?,Eczema
Can numbness be a sign of something serious?,Diabetes
"Whenever I exercising, I experience chest pain. Is this a medical condition?",Pneumonia
"Whenever I sitting for long hours, I experience high fever. Is this a medical condition?",Typhoid fever
My legs has been sweating. What could be causing this?,Menopause
I've been dealing with sweating for a week now. What should I do?,Hyperthyroidism
I've been dealing with chest pain for a week now. What should I do?,Angina
Can sweating be a sign of something serious?,Tuberculosis
Can muscle pain be a sign of something serious?,Lyme disease
Could fatigue be related to high sugar intake?,Anemia
I've been feeling sweating for the past few days. What could be the reason?,Menopause
"Whenever I walking, I experience weakness. Is this a medical condition?",Malnutrition
My chest has been rash. What could be causing this?,Allergic reaction
I've been dealing with rash for a week now. What should I do?,Chickenpox
Could numbness be related to lack of exercise?,Pinched nerve
"Recently, I noticed dizziness, and it's getting worse. Should I be concerned?",Vertigo
I've been dealing with loss of appetite for a week now. What should I do?,Depression
"Recently, I noticed chills, and it's getting worse. Should I be concerned?",Pneumonia
"Whenever I climbing stairs, I experience bloating. Is this a medical condition?",Celiac disease
Is it normal to have swelling along with dizziness?,Blood clot
"Whenever I climbing stairs, I experience excessive thirst. Is this a medical condition?",Diabetes
I've been dealing with sweating for a week now. What should I do?,Hyperthyroidism
I've been feeling insomnia for the past few days. What could be the reason?,Anxiety
Is it normal to have numbness along with weakness?,Peripheral neuropathy
Experiencing memory loss along with mild discomfort. Do I need to see a doctor?,Alzheimers
"Recently, I noticed chills, and it's getting worse. Should I be concerned?",Malaria
"Whenever I sitting for long hours, I experience wheezing. Is this a medical condition?",COPD
Is it normal to have muscle pain along with weakness?,Lyme disease
My legs has been stomach cramps. What could be causing this?,Gastritis
"Recently, I noticed insomnia, and it's getting worse. Should I be concerned?",Sleep apnea
Is it normal to have blurred vision along with weakness?,Retinal detachment
I've been feeling redness for the past few days. What could be the reason?,Rosacea
"Recently, I noticed muscle pain, and it's getting worse. Should I be concerned?",Fibromyalgia
Is it normal to have joint pain along with fatigue?,Gout
Can cough be a sign of something serious?,COVID-19
"Whenever I walking, I experience weakness. Is this a medical condition?",Stroke
I've had sweating since last night. Could it be due to infection?,Menopause
I've been feeling blisters for the past few days. What could be the reason?,Contact dermatitis
Experiencing numbness along with mild discomfort. Do I need to see a doctor?,Diabetes
I've been feeling weight loss for the past few days. What could be the reason?,Cancer
My arms has been chest pain. What could be causing this?,Heart attack
Is it normal to have shortness of breath along with headache?,Pneumonia
My chest has been constipation. What could be causing this?,IBS
Can weakness be a sign of something serious?,Neuropathy
I've been feeling shortness of breath for the past few days. What could be the reason?,COPD
"Recently, I noticed diarrhea, and it's getting worse. Should I be concerned?",Irritable Bowel Syndrome IBS
"Whenever I exercising, I experience fatigue. Is this a medical condition?",Hypothyroidism
Experiencing wheezing along with mild discomfort. Do I need to see a doctor?,COPD
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Dehydration
Can nausea be a sign of something serious?,Food poisoning
My back has been stomach cramps. What could be causing this?,Food poisoning
"Recently, I noticed body aches, and it's getting worse. Should I be concerned?",Lyme disease
"Recently, I noticed abdominal pain, and it's getting worse. Should I be concerned?",Gastritis
Can nausea be a sign of something serious?,Gastroenteritis
Could sweating be related to smoking?,Hyperthyroidism
I've had blurred vision since last night. Could it be due to poor diet?,Glaucoma
I've had chest pain since last night. Could it be due to seasonal changes?,GERD
Is it normal to have cough along with headache?,Tuberculosis
Can rash be a sign of something serious?,Chickenpox
Experiencing wheezing along with mild discomfort. Do I need to see a doctor?,Asthma
Experiencing muscle pain along with mild discomfort. Do I need to see a doctor?,Polymyositis
"Whenever I walking, I experience abdominal pain. Is this a medical condition?",Peptic ulcer
Can blurred vision be a sign of something serious?,Diabetes
Experiencing dizziness along with mild discomfort. Do I need to see a doctor?,Vertigo
My back has been redness. What could be causing this?,Rosacea
"Recently, I noticed loss of appetite, and it's getting worse. Should I be concerned?",Hepatitis
I've been feeling dizziness for the past few days. What could be the reason?,Dehydration
Can itching be a sign of something serious?,Fungal infections
Could congestion be related to lack of exercise?,Common cold
Could seizures be related to alcohol consumption?,Epilepsy
I've been dealing with joint pain for a week now. What should I do?,Lupus
"Whenever I sitting for long hours, I experience nausea. Is this a medical condition?",Gastroenteritis
I've been feeling swelling for the past few days. What could be the reason?,Angioedema
Could memory loss be related to high sugar intake?,Dementia
Is it normal to have seizures along with weakness?,Epilepsy
I've had high fever since last night. Could it be due to stress?,Influenza
My head has been blisters. What could be causing this?,Chickenpox
I've been dealing with memory loss for a week now. What should I do?,Brain tumor
I've been dealing with constipation for a week now. What should I do?,Colon obstruction
Experiencing fatigue along with mild discomfort. Do I need to see a doctor?,Anemia
Experiencing congestion along with mild discomfort. Do I need to see a doctor?,Allergies
I've been feeling constipation for the past few days. What could be the reason?,IBS
I've been dealing with blisters for a week now. What should I do?,Contact dermatitis
"Recently, I noticed loss of appetite, and it's getting worse. Should I be concerned?",Cancer
Experiencing loss of appetite along with mild discomfort. Do I need to see a doctor?,Depression
Could wheezing be related to lack of exercise?,Anaphylaxis
My head has been wheezing. What could be causing this?,COPD
I've been dealing with rash for a week now. What should I do?,Psoriasis
My arms has been sweating. What could be causing this?,Tuberculosis
My back has been insomnia. What could be causing this?,Sleep apnea
Can confusion be a sign of something serious?,Stroke
My chest has been insomnia. What could be causing this?,Sleep apnea
"Whenever I exercising, I experience nausea. Is this a medical condition?",Acid reflux
Is it normal to have itching along with nausea?,Eczema
My head has been chills. What could be causing this?,Malaria
I've been feeling rash for the past few days. What could be the reason?,Allergic reaction
My arms has been congestion. What could be causing this?,Sinusitis
I've been dealing with chills for a week now. What should I do?,Malaria
My head has been abdominal pain. What could be causing this?,Gastritis
Could redness be related to lack of exercise?,Lupus
My head has been wheezing. What could be causing this?,Bronchitis
My head has been chills. What could be causing this?,COVID-19
I've been feeling memory loss for the past few days. What could be the reason?,Vitamin B12 deficiency
"Whenever I exercising, I experience loss of appetite. Is this a medical condition?",Hepatitis
My arms has been cough. What could be causing this?,Common cold
"Whenever I exercising, I experience blurred vision. Is this a medical condition?",Diabetes
I've had wheezing since last night. Could it be due to infection?,Asthma
I've been feeling blurred vision for the past few days. What could be the reason?,Glaucoma
Can weakness be a sign of something serious?,Stroke
I've had body aches since last night. Could it be due to seasonal changes?,Viral fever
Can constipation be a sign of something serious?,Dehydration
My legs has been diarrhea. What could be causing this?,Food poisoning
Experiencing congestion along with mild discomfort. Do I need to see a doctor?,Sinusitis
Experiencing constipation along with mild discomfort. Do I need to see a doctor?,IBS
Could nausea be related to smoking?,Food poisoning
Experiencing high fever along with mild discomfort. Do I need to see a doctor?,Dengue
Could itching be related to alcohol consumption?,Eczema
I've had confusion since last night. Could it be due to dehydration?,Hypoglycemia
Is it normal to have weakness along with fatigue?,Malnutrition
My head has been high fever. What could be causing this?,Influenza
I've been feeling dizziness for the past few days. What could be the reason?,Low blood pressure
Could high fever be related to lack of exercise?,Influenza
I've been feeling diarrhea for the past few days. What could be the reason?,Food poisoning
Could blisters be related to lack of exercise?,Burns
I've had wheezing since last night. Could it be due to infection?,Bronchitis
Can memory loss be a sign of something serious?,Brain tumor
Is it normal to have insomnia along with headache?,Sleep apnea
I've been feeling abdominal pain for the past few days. What could be the reason?,Gallstones
I've been dealing with rash for a week now. What should I do?,Chickenpox
My chest has been weakness. What could be causing this?,Myasthenia gravis
"Whenever I sitting for long hours, I experience numbness. Is this a medical condition?",Peripheral neuropathy
Could redness be related to smoking?,Lupus
"Whenever I sitting for long hours, I experience numbness. Is this a medical condition?",Peripheral neuropathy
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Fibromyalgia
Can headache be a sign of something serious?,Migraine
"Recently, I noticed excessive thirst, and it's getting worse. Should I be concerned?",Diabetes
I've had headache since last night. Could it be due to infection?,Tension headache
"Whenever I sitting for long hours, I experience body aches. Is this a medical condition?",Fibromyalgia
Experiencing swelling along with mild discomfort. Do I need to see a doctor?,Arthritis
Experiencing fatigue along with mild discomfort. Do I need to see a doctor?,Chronic Fatigue Syndrome
Can numbness be a sign of something serious?,Multiple sclerosis
"Recently, I noticed memory loss, and it's getting worse. Should I be concerned?",Vitamin B12 deficiency
My stomach has been headache. What could be causing this?,Hypertension
I've been feeling blisters for the past few days. What could be the reason?,Herpes
Experiencing dizziness along with mild discomfort. Do I need to see a doctor?,Low blood pressure
I've been dealing with difficulty breathing for a week now. What should I do?,Pulmonary edema
Can body aches be a sign of something serious?,Viral fever
"Whenever I climbing stairs, I experience swelling. Is this a medical condition?",Cellulitis
Experiencing constipation along with mild discomfort. Do I need to see a doctor?,Hypothyroidism
Experiencing muscle pain along with mild discomfort. Do I need to see a doctor?,Polymyositis
Is it normal to have diarrhea along with weakness?,Crohns disease
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Hypercalcemia
"Recently, I noticed seizures, and it's getting worse. Should I be concerned?",Brain injury
I've been feeling diarrhea for the past few days. What could be the reason?,Food poisoning
Could loss of appetite be related to lack of exercise?,Cancer
Can dizziness be a sign of something serious?,Low blood pressure
I've been dealing with abdominal pain for a week now. What should I do?,Appendicitis
Is it normal to have redness along with nausea?,Lupus
I've been feeling chills for the past few days. What could be the reason?,Malaria
Experiencing chills along with mild discomfort. Do I need to see a doctor?,COVID-19
Could blurred vision be related to alcohol consumption?,Diabetes
I've been dealing with congestion for a week now. What should I do?,Allergies
Is it normal to have vomiting along with fatigue?,Migraine
Could blisters be related to smoking?,Chickenpox
"Whenever I sitting for long hours, I experience high fever. Is this a medical condition?",Malaria
Experiencing insomnia along with mild discomfort. Do I need to see a doctor?,Sleep apnea
Can vomiting be a sign of something serious?,Food poisoning
"Whenever I climbing stairs, I experience dizziness. Is this a medical condition?",Vertigo
I've been dealing with redness for a week now. What should I do?,Lupus
I've been feeling swelling for the past few days. What could be the reason?,Angioedema
"Whenever I climbing stairs, I experience difficulty breathing. Is this a medical condition?",Pneumonia
My arms has been stomach cramps. What could be causing this?,Food poisoning
"Whenever I exercising, I experience chills. Is this a medical condition?",Sepsis
Is it normal to have chest pain along with nausea?,GERD
I've had confusion since last night. Could it be due to stress?,Stroke
Can weakness be a sign of something serious?,Stroke
I've been feeling numbness for the past few days. What could be the reason?,Diabetes
Experiencing itching along with mild discomfort. Do I need to see a doctor?,Fungal infections
"Whenever I climbing stairs, I experience loss of appetite. Is this a medical condition?",Hepatitis
I've been dealing with wheezing for a week now. What should I do?,COPD
Can headache be a sign of something serious?,Meningitis
"Whenever I exercising, I experience stomach cramps. Is this a medical condition?",IBS
Can insomnia be a sign of something serious?,Depression
"Recently, I noticed nausea, and it's getting worse. Should I be concerned?",Acid reflux
"Recently, I noticed headache, and it's getting worse. Should I be concerned?",Migraine
Could rash be related to high sugar intake?,Psoriasis
I've been feeling chills for the past few days. What could be the reason?,COVID-19
"Whenever I walking, I experience nausea. Is this a medical condition?",Acid reflux
I've been dealing with shortness of breath for a week now. What should I do?,COPD
My arms has been weakness. What could be causing this?,Stroke
Could bloating be related to smoking?,Celiac disease
Is it normal to have joint pain along with headache?,Gout
I've been feeling joint pain for the past few days. What could be the reason?,Gout
"Recently, I noticed bloating, and it's getting worse. Should I be concerned?",Celiac disease
I've been dealing with bloating for a week now. What should I do?,Small intestine bacterial overgrowth SIBO
I've had high fever since last night. Could it be due to lack of sleep?,Influenza
Can numbness be a sign of something serious?,Pinched nerve
I've had numbness since last night. Could it be due to stress?,Pinched nerve
"Recently, I noticed sweating, and it's getting worse. Should I be concerned?",Tuberculosis
Experiencing chest pain along with mild discomfort. Do I need to see a doctor?,GERD
Is it normal to have headache along with nausea?,Migraine
Could insomnia be related to high sugar intake?,Sleep apnea
Experiencing constipation along with mild discomfort. Do I need to see a doctor?,Dehydration
"Recently, I noticed joint pain, and it's getting worse. Should I be concerned?",Rheumatoid arthritis
I've had wheezing since last night. Could it be due to infection?,COPD
I've had sweating since last night. Could it be due to dehydration?,Menopause
I've been dealing with blurred vision for a week now. What should I do?,Glaucoma
I've been dealing with body aches for a week now. What should I do?,Lyme disease
"Whenever I exercising, I experience joint pain. Is this a medical condition?",Gout
Can muscle pain be a sign of something serious?,Lyme disease
Is it normal to have headache along with dizziness?,Meningitis
I've been feeling shortness of breath for the past few days. What could be the reason?,Pneumonia
My head has been insomnia. What could be causing this?,Restless leg syndrome
I've been dealing with seizures for a week now. What should I do?,Brain injury
"Whenever I climbing stairs, I experience blisters. Is this a medical condition?",Chickenpox
Is it normal to have chest pain along with weakness?,Heart attack
Is it normal to have excessive thirst along with weakness?,Hypercalcemia
Can excessive thirst be a sign of something serious?,Kidney disease
"Whenever I climbing stairs, I experience weakness. Is this a medical condition?",Neuropathy
"Whenever I sitting for long hours, I experience body aches. Is this a medical condition?",Lyme disease
I've been feeling confusion for the past few days. What could be the reason?,Hypoglycemia
My legs has been dizziness. What could be causing this?,Vertigo
I've been feeling blurred vision for the past few days. What could be the reason?,Diabetes
"Whenever I climbing stairs, I experience dizziness. Is this a medical condition?",Vertigo
My back has been weight loss. What could be causing this?,Cancer
Is it normal to have loss of appetite along with weakness?,Cancer
I've been dealing with difficulty breathing for a week now. What should I do?,Heart failure
Experiencing chest pain along with mild discomfort. Do I need to see a doctor?,Pneumonia
My arms has been diarrhea. What could be causing this?,Crohns disease
I've been feeling itching for the past few days. What could be the reason?,Eczema
Could seizures be related to lack of exercise?,Brain injury
Could nausea be related to smoking?,Pregnancy
My stomach has been fatigue. What could be causing this?,Hypothyroidism
Can vomiting be a sign of something serious?,Gastroenteritis
Could shortness of breath be related to smoking?,Pneumonia
Could memory loss be related to high sugar intake?,Dementia
I've been feeling constipation for the past few days. What could be the reason?,Colon obstruction
Could weight loss be related to high sugar intake?,Tuberculosis
My legs has been dizziness. What could be causing this?,Vertigo
Can blurred vision be a sign of something serious?,Retinal detachment
I've been feeling swelling for the past few days. What could be the reason?,Cellulitis
I've been dealing with excessive thirst for a week now. What should I do?,Dehydration
"Whenever I walking, I experience swelling. Is this a medical condition?",Arthritis
Is it normal to have swelling along with weakness?,Cellulitis
I've had dizziness since last night. Could it be due to poor diet?,Dehydration
Experiencing loss of appetite along with mild discomfort. Do I need to see a doctor?,Hepatitis
I've had nausea since last night. Could it be due to infection?,Acid reflux
Is it normal to have fatigue along with headache?,Depression
My stomach has been redness. What could be causing this?,Contact dermatitis
I've been dealing with constipation for a week now. What should I do?,Colon obstruction
I've been dealing with diarrhea for a week now. What should I do?,Cholera
My back has been itching. What could be causing this?,Fungal infections
"Recently, I noticed seizures, and it's getting worse. Should I be concerned?",Stroke
Experiencing sweating along with mild discomfort. Do I need to see a doctor?,Tuberculosis
"Whenever I sitting for long hours, I experience muscle pain. Is this a medical condition?",Polymyositis
I've been feeling loss of appetite for the past few days. What could be the reason?,Hepatitis
My head has been blisters. What could be causing this?,Chickenpox
I've had rash since last night. Could it be due to dehydration?,Eczema
Experiencing rash along with mild discomfort. Do I need to see a doctor?,Psoriasis
I've had confusion since last night. Could it be due to stress?,Hypoglycemia
I've had insomnia since last night. Could it be due to seasonal changes?,Restless leg syndrome
I've been dealing with chills for a week now. What should I do?,COVID-19
Could itching be related to smoking?,Scabies
"Recently, I noticed numbness, and it's getting worse. Should I be concerned?",Pinched nerve
I've been feeling fatigue for the past few days. What could be the reason?,Chronic Fatigue Syndrome
Experiencing wheezing along with mild discomfort. Do I need to see a doctor?,Bronchitis
